Contest, Part, Sub-Part, Name, Rating
96420,1607,A,Linear Keyboard,800
96300,1605,A,A.M. Deviation,800
96240,1604,A,Era,800
96120,1602,A,Two Subsequences,800
95880,1598,A,Computer Game,800
95640,1594,A,Consecutive Sum Riddle,800
95580,1593,A,Elections,800
95520,1592,A,Gamer Hemose,800
95040,1584,A,Mathematical Addition,800
94980,1583,A,Windblume Ode,800
94920,1582,A,Luntik and Concerts,800
94860,1581,A,CQXYM Count Permutations,800
94740,1579,A,Casimir's String Solitaire,800
94440,1574,A,Regular Bracket Sequences,800
94380,1573,A,Countdown,800
94140,1569,A,Balanced Substring,800
94020,1567,A,Domino Disaster,800
93962,1566,B,MIN-MEX Cut,800
93960,1566,A,Median Maximization,800
93720,1562,A,The Miracle and the Sleeper,800
93660,1561,A,Simply Strange Sort,800
93604,1560,C,Infinity Table,800
93602,1560,B,Who's Opposite?,800
93600,1560,A,Dislike of Threes,800
93420,1557,A,Ezzat and Two Subsequences,800
93360,1556,A,A Variety of Operations,800
93240,1554,A,Cherry,800
93180,1553,A,Digits Sum,800
93120,1552,A,Subsequence Permutation,800
93062,1551,B1,Wonderful Coloring - 1,800
93060,1551,A,Polycarp and Coins,800
93000,1550,A,Find The Array,800
92942,1549,B,Gregor and the Pawn Game,800
92940,1549,A,Gregor and Cryptography,800
92822,1547,B,Alphabetical Strings,800
92820,1547,A,Shortest Path with Obstacle,800
92760,1546,A,AquaMoon and Two Arrays,800
92520,1542,A,Odd Set,800
92460,1541,A,Pretty Permutations,800
92342,1539,B,Love Song,800
92282,1538,B,Friends and Candies,800
92280,1538,A,Stone Game,800
92220,1537,A,Arithmetic Array,800
92160,1536,A,Omkar and Bad Story,800
92100,1535,A,Fair Playoff,800
92040,1534,A,Colour the Flag,800
91802,1530,B,Putting Plates,800
91800,1530,A,Binary Decimal,800
91740,1529,A,Eshag Loves Big Arrays,800
91620,1527,A,And Then There Were K,800
91560,1526,A,Mean Inequality,800
91500,1525,A,Potion-making,800
91380,1523,A,Game of Life,800
91202,1520,B,Ordinary Numbers,800
91200,1520,A,Do Not Be Distracted!,800
91142,1519,B,The Cake Is a Lie,800
91140,1519,A,Red and Blue Beans,800
91020,1517,A,Sum of 2050,800
90960,1516,A,Tit for Tat,800
90900,1515,A,Phoenix and Gold,800
90840,1514,A,Perfectly Imperfect Array,800
90780,1513,A,Array and Peaks,800
90722,1512,B,Almost Rectangle,800
90720,1512,A,Spy Detected!,800
90660,1511,A,Review Site,800
90540,1509,A,Average Height,800
90360,1506,A,Strange Table,800
90240,1504,A, Déjà Vu,800
90060,1501,A,Alexey and Train,800
89940,1499,A,Domino on Windowsill,800
89880,1498,A,GCD Sum,800
89820,1497,A,Meximization,800
89580,1493,A,Anti-knapsack,800
89520,1492,A,Three swimmers,800
89460,1491,A,K-th Largest Value,800
89400,1490,A,Dense Array,800
89220,1487,A,Arena,800
88920,1482,A,Prison Break,800
88860,1481,A,Space Navigation ,800
88800,1480,A,Yet Another String Game,800
88680,1478,A,Nezzar and Colorful Balls,800
88440,1474,A,Puzzle From the Future,800
88380,1473,A,Replacing Elements,800
88322,1472,B,Fair Division,800
