problem_id,rating,tags
96120,800,['implementation']
96064,2300,"['data structures', 'divide and conquer', 'dp', 'greedy', 'sortings']"
96060,1300,"['bitmasks', 'greedy', 'math', 'number theory']"
96018,1400,"['bitmasks', 'dfs and similar']"
96008,1900,"['games', 'greedy', 'two pointers']"
95952,2700,"['brute force', 'geometry', 'math', 'shortest paths']"
95944,2000,"['combinatorics', 'math', 'probabilities', 'ternary search']"
95940,2600,"['constructive algorithms', 'greedy', 'two pointers']"
95890,2400,"['binary search', 'bitmasks', 'brute force', 'data structures', 'dp']"
95886,1700,"['combinatorics', 'data structures', 'geometry', 'implementation', 'math']"
95882,1000,"['brute force', 'implementation']"
95650,2400,"['constructive algorithms', 'math']"
95648.0,1300,"['combinatorics', 'math']"
95644,1200,"['brute force', 'greedy', 'math', 'strings']"
95642,1100,"['bitmasks', 'math']"
95640,800,['math']
95590,2100,"['dfs and similar', 'dp', 'implementation', 'math', 'meet-in-the-middle']"
95587.0,1900,"['brute force', 'math', 'number theory']"
95586.0,1100,"['math', 'number theory']"
95584,1000,"['binary search', 'greedy', 'greedy']"
95582,900,"['dfs and similar', 'dp', 'greedy', 'math', 'math']"
95580,800,['math']
95530.0,2600,"['constructive algorithms', 'greedy']"
95526,2300,"['binary search', 'dfs and similar', 'implementation', 'interactive', 'math', 'number theory', 'trees']"
95522,1200,"['constructive algorithms', 'dsu', 'math', 'sortings']"
94992,3000,"['data structures', 'math']"
94988,2200,"['constructive algorithms', 'dfs and similar', 'graph matchings', 'graphs', 'greedy', 'trees']"
94984,1700,"['data structures', 'dp']"
94980,800,"['math', 'number theory']"
94932,2600,"['data structures', 'number theory']"
94930.0,1800,"['bitmasks', 'dp']"
94928,2000,"['binary search', 'data structures', 'dp', 'greedy', 'math']"
94924,1200,"['brute force', 'data structures', 'greedy', 'strings', 'two pointers']"
94922,900,"['combinatorics', 'math']"
94920,800,['math']
94860,800,"['combinatorics', 'math', 'number theory']"
94804,2200,"['brute force', 'data structures', 'implementation']"
94800,1700,"['brute force', 'data structures', 'dp', 'greedy', 'implementation']"
94752,2200,['dp']
94749.0,1700,"['data structures', 'greedy']"
94746,1400,"['constructive algorithms', 'graphs', 'greedy']"
94744,1500,"['greedy', 'implementation']"
94740,800,"['math', 'strings']"
94702,2400,"['binary search', 'dsu', 'greedy']"
94694,1700,"['implementation', 'strings']"
94688,1200,"['implementation', 'math']"
94680,2800,"['constructive algorithms', 'graphs', 'shortest paths']"
94524,2400,"['data structures', 'geometry']"
94520,2200,"['implementation', 'math']"
94516,2300,"['data structures', 'trees']"
94512,2200,"['math', 'number theory']"
94508,2600,"['data structures', 'trees']"
94500,1100,"['data structures', 'sortings', 'strings']"
94448,2500,"['combinatorics', 'constructive algorithms', 'implementation', 'math']"
94444,1300,"['binary search', 'greedy', 'sortings', 'ternary search']"
94442,1100,"['combinatorics', 'greedy', 'math']"
94382,1400,"['greedy', 'math', 'sortings']"
94380,800,['greedy']
94324,2700,"['dp', 'greedy']"
94320,1800,"['binary search', 'brute force', 'data structures', 'dp', 'graphs', 'implementation', 'sortings']"
94146,1900,"['binary search', 'data structures', 'implementation', 'sortings', 'two pointers']"
94144,1500,"['combinatorics', 'math']"
94140,800,['implementation']
94028,2200,"['data structures', 'divide and conquer', 'math']"
94024,1600,"['bitmasks', 'combinatorics', 'dp', 'math']"
94022,1000,"['bitmasks', 'greedy']"
93970,2600,"['data structures', 'dp', 'greedy', 'implementation', 'sortings']"
93967.0,1600,"['data structures', 'greedy', 'implementation', 'sortings', 'two pointers']"
93964,1000,"['bitmasks', 'constructive algorithms', 'dp', 'greedy']"
93960,800,"['binary search', 'greedy', 'math']"
93728,2500,"['dp', 'greedy', 'string suffix structures', 'strings']"
93727.0,2200,"['data structures', 'math']"
93726.0,1700,"['data structures', 'dp', 'math']"
93722,1000,"['brute force', 'constructive algorithms', 'implementation', 'math', 'number theory']"
93720,800,"['greedy', 'math']"
93664,1300,"['binary search', 'greedy', 'sortings']"
93611.0,2100,"['bitmasks', 'brute force', 'constructive algorithms', 'dfs and similar', 'dp', 'greedy']"
93608,1800,"['binary search', 'implementation', 'sortings', 'strings']"
93604,800,"['implementation', 'math']"
93602,800,['math']
93600,800,['implementation']
93548,2200,"['combinatorics', 'dp', 'fft', 'math', 'number theory']"
93546.0,1400,"['brute force', 'constructive algorithms', 'dsu', 'graphs', 'greedy', 'trees']"
93542,900,"['dp', 'greedy']"
93486,2600,"['combinatorics', 'data structures']"
93482,1900,"['brute force', 'dp', 'math', 'number theory', 'two pointers']"
93426,2200,"['data structures', 'dp', 'greedy']"
93422,1100,"['greedy', 'sortings']"
93370,2500,"['bitmasks', 'combinatorics', 'dp', 'graphs', 'math', 'probabilities']"
93368,2200,"['data structures', 'dp', 'greedy']"
93364,1800,"['brute force', 'implementation']"
93362,1300,['implementation']
93360,800,['math']
93308,2100,"['data structures', 'sortings', 'trees', 'two pointers']"
93304,1300,"['brute force', 'constructive algorithms', 'dp', 'implementation']"
93300,900,"['brute force', 'math']"
93248,2600,"['dfs and similar', 'dp', 'math', 'number theory']"
93244,1800,"['binary search', 'bitmasks', 'greedy', 'implementation']"
93240,800,['greedy']
93190,2300,"['data structures', 'math']"
93186,1500,"['dp', 'greedy', 'strings', 'two pointers']"
93182,1300,"['brute force', 'dp', 'hashing', 'implementation', 'strings']"
93180,800,"['math', 'number theory']"
93130,2200,"['binary search', 'data structures', 'dp', 'sortings']"
93126,1800,"['bitmasks', 'brute force', 'constructive algorithms', 'dfs and similar', 'dp', 'graphs', 'math']"
93122,1500,"['combinatorics', 'graphs', 'greedy', 'sortings']"
